Affiliation.Status,Worldview,Social.Network.Type,Size.Relative.To.Max.Total.Network.Size
Affiliation,Supernatural,Supernatural Worldview Club,0.08
Affiliation,Supernatural,Family,0.02
Affiliation,Supernatural,Job,0.04
Affiliation,Supernatural,Neighborhood,0.06
Affiliation,Supernatural,Online,0.14
Affiliation,Supernatural,Offline,0.12
Unaffiliation,Supernatural,Supernatural Worldview Club,0
Unaffiliation,Supernatural,Family,0.02
Unaffiliation,Supernatural,Job,0.04
Unaffiliation,Supernatural,Neighborhood,0.06
Unaffiliation,Supernatural,Online,0.223
Unaffiliation,Supernatural,Offline,0.182
Unaffiliation,Natural,Supernatural Worldview Club,0
Unaffiliation,Natural,Family,0.02
Unaffiliation,Natural,Job,0.04
Unaffiliation,Natural,Neighborhood,0.06
Unaffiliation,Natural,Online,0.303
Unaffiliation,Natural,Offline,0.261
