Affiliation.Status,Pro.Social.Action.Type,Measure.Type,Likelihood
Affiliation,Tribal,Opp.Being.Generated,0.426
Affiliation,Ideological,Opp.Being.Generated,0.525
Affiliation,Universal,Opp.Being.Generated,0.692
Unaffiliation,Tribal,Opp.Being.Generated,0
Unaffiliation,Ideological,Opp.Being.Generated,0.325
Unaffiliation,Universal,Opp.Being.Generated,0.436
Affiliation,Tribal,Accepting.Opp,0.258
Affiliation,Ideological,Accepting.Opp,0.372
Affiliation,Universal,Accepting.Opp,0.199
Unaffiliation,Tribal,Accepting.Opp,0
Unaffiliation,Ideological,Accepting.Opp,0.386
Unaffiliation,Universal,Accepting.Opp,0.191
