Affiliation.Status,Worldview,Pro.Social.Action.Type,Measure.Type,Likelihood
Affiliation,Supernatural,Tribal,Opp.Being.Generated,0.426
Affiliation,Supernatural,Ideological,Opp.Being.Generated,0.525
Affiliation,Supernatural,Universal,Opp.Being.Generated,0.692
Unaffiliation,Supernatural,Tribal,Opp.Being.Generated,0
Unaffiliation,Supernatural,Ideological,Opp.Being.Generated,0.317
Unaffiliation,Supernatural,Universal,Opp.Being.Generated,0.423
Unaffiliation,Natural,Tribal,Opp.Being.Generated,0
Unaffiliation,Natural,Ideological,Opp.Being.Generated,0.436
Unaffiliation,Natural,Universal,Opp.Being.Generated,0.526
Affiliation,Supernatural,Tribal,Accepting.Opp,0.258
Affiliation,Supernatural,Ideological,Accepting.Opp,0.372
Affiliation,Supernatural,Universal,Accepting.Opp,0.199
Unaffiliation,Supernatural,Tribal,Accepting.Opp,0
Unaffiliation,Supernatural,Ideological,Accepting.Opp,0.3865
Unaffiliation,Supernatural,Universal,Accepting.Opp,0.1906
Unaffiliation,Natural,Tribal,Accepting.Opp,0
Unaffiliation,Natural,Ideological,Accepting.Opp,0.3811
Unaffiliation,Natural,Universal,Accepting.Opp,0.194
